CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Unemployment
36005000100,Bronx,Bronx,7703,7133,570,29.9,6.1,60.9,0.2,1.6,6476,,2440,,,,,,,,,,,,,,,
36005000200,Bronx,Bronx,5403,2659,2744,75.8,2.3,16.0,0.0,4.2,3639,72034,22180,20.0,20.7,28.7,17.1,23.9,8.0,22.3,44.8,13.7,38.6,2.9,0.0,0.0,43.0,7.7
36005000400,Bronx,Bronx,5915,2896,3019,62.7,3.6,30.7,0.0,0.3,4100,74836,27700,13.2,23.6,32.2,23.4,24.9,9.0,10.5,41.3,10.0,44.6,1.4,0.5,2.1,45.0,9.5
36005001600,Bronx,Bronx,5879,2558,3321,65.1,1.6,32.4,0.0,0.0,3536,32312,17526,26.3,35.9,19.1,36.1,26.2,4.9,13.8,37.2,5.3,45.5,8.6,1.6,1.7,38.8,8.7
36005001900,Bronx,Bronx,2591,1206,1385,55.4,9.0,29.0,0.0,2.1,1557,37936,17986,37.1,31.5,35.4,20.9,26.2,6.6,11.0,19.2,5.3,63.9,3.0,2.4,6.2,45.4,19.2
36005002000,Bronx,Bronx,8516,3301,5215,61.1,1.6,31.1,0.3,3.3,5436,18086,12023,53.2,67.7,14.5,41.1,16.7,7.1,20.6,19.6,7.0,68.2,4.3,1.0,0.0,46.0,17.2
36005002300,Bronx,Bronx,4774,2130,2644,62.3,0.2,36.5,1.0,0.0,3056,14479,9781,54.2,68.3,20.8,36.0,33.7,3.4,6.1,5.9,0.0,74.5,14.0,1.5,4.1,42.7,18.9
36005002400,Bronx,Bronx,150,109,41,0.0,52.0,48.0,0.0,0.0,41,,49365,0.0,0.0,63.7,36.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0
36005002500,Bronx,Bronx,5355,2338,3017,76.5,1.5,18.9,0.0,3.0,2509,17226,11493,50.5,62.4,15.9,36.6,24.2,8.6,14.7,12.6,2.8,62.5,17.7,1.8,2.7,35.5,9.4
36005002701,Bronx,Bronx,3016,1375,1641,68.0,0.0,31.2,0.0,0.0,1456,20153,10317,52.6,64.9,19.9,35.9,25.8,4.9,13.5,14.0,1.7,64.7,18.0,0.0,1.6,42.8,15.2
36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147,8911,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,10.6
36005002800,Bronx,Bronx,5299,2292,3007,23.0,0.2,71.4,0.0,1.7,4056,49529,26652,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,12.8
36005003100,Bronx,Bronx,1466,769,697,72.3,0.6,24.6,0.0,2.2,647,37250,17043,18.1,25.2,17.5,27.6,27.0,10.9,17.0,16.4,0.0,65.5,14.6,3.5,0.0,40.1,6.6
36005003300,Bronx,Bronx,3912,1824,2088,65.6,1.0,30.6,1.7,0.0,1945,19923,8555,56.3,72.3,14.5,51.4,15.8,2.7,15.6,11.0,4.6,68.4,13.5,0.8,1.8,42.5,18.5
