Station,Longitude,Latitude
34 ST-PENN STA,-73.99105699913983,40.75037300003949
GRD CNTRL-42 ST,-73.97918899989101,40.75276866674217
34 ST-HERALD SQ,-73.98777189072918,40.74978939990011
86 ST,-73.97621799859327,40.78864400073892
23 ST,-73.989272,40.741339
TIMES SQ-42 ST,-73.98622899953202,40.755983000570076
42 ST-PORT AUTH,-73.98973500085859,40.757307998551504
14 ST-UNION SQ,-73.98995099881881,40.734673000996125
PATH NEW WTC,-74.00974461517701,40.71256392680817
125 ST,-73.94549500011411,40.807753999182815
FULTON ST,-74.00762309323994,40.71016216530185
FLUSHING-MAIN,-73.83003000262508,40.75959999915012
JKSN HT-ROOSVLT,-73.89129866519697,40.74653969115889
59 ST,-74.01788099953987,40.6413616662838
59 ST COLUMBUS,-73.98192900232715,40.76824700063689
96 ST,-73.9470660219183,40.784236650177654
CANAL ST,-74.00019299927328,40.71880300107709
14 ST,-74.00020100063497,40.737825999728116
CHAMBERS ST,-74.00858473570133,40.714111000774025
ATL AV-BARCLAY,-73.97678343963167,40.684488323453685
